feature,family,mean_abs_shap_bp,permutation_mse_increase,permutation_std,mdi
mkt_vol_20d,Market & sector,5.365060319848866,7.065394294964059e-07,1.5965878918168707e-07,0.29121339325612444
mkt_ret_5d,Market & sector,3.332312382759083,8.9724451809542e-08,6.134016616133877e-08,0.23336429574397943
mkt_ret_1d,Market & sector,3.2772415339833065,1.4603219390353135e-07,1.0498871919544514e-07,0.21402902825789005
gap_open,Candle,0.7675138317702926,-5.207852343450713e-10,1.9545814349833917e-08,0.03441325644081913
ret_1d,Past returns,0.5650983167510776,-4.810887633416154e-08,1.364051055777286e-08,0.023004345487132115
sector_ret_5d,Market & sector,0.5284756200220061,5.981182205952018e-08,1.611396341525527e-08,0.04128100845128428
atr_14,Volatility,0.43130972779982907,1.1629189309071669e-09,1.1291140595555168e-08,0.0144866521598185
vol_60d,Volatility,0.27030686876957166,-4.0945948377745645e-09,6.333562436229017e-09,0.01862312469160744
range_1d,Volatility,0.25168175074232074,-3.1994279526162416e-08,4.885985622717784e-09,0.009707490871004174
vol_20d,Volatility,0.19840771444799415,-6.993424989366234e-09,5.667076652599947e-09,0.01137702232708093
dist_sma50,Trend,0.18817553124670267,2.2428952791674914e-09,6.6416278593247166e-09,0.006026974115136445
ret_5d,Past returns,0.16849020965930794,5.4560641097176284e-09,8.862970824115581e-09,0.007260796098864931
ret_20d,Past returns,0.14764136949783652,2.989435914527828e-09,7.918120893337784e-09,0.006265701059587065
rsi_14,Oscillators,0.14020117442971836,-1.326033155650896e-08,5.784684067104018e-09,0.003792662416341885
stoch_k14,Oscillators,0.13965977115016415,-6.6326442304771045e-09,3.6252955908997776e-09,0.004871251662583743
ret_10d,Past returns,0.1324809906004697,-1.5998318567348694e-08,5.750929941691017e-09,0.004866899510392507
close_pos_range,Candle,0.1322062827950624,-3.6938916649721433e-09,1.2442479884753348e-09,0.005546046693751669
body_1d,Candle,0.12990856527392763,9.604254195409758e-10,2.730498486437434e-09,0.0052422139987004695
macd_hist,Trend,0.1261912466633711,-1.2342110849809128e-08,7.554115256531884e-09,0.0075688522056599795
dist_sma20,Trend,0.12452828209973543,4.5274708329994525e-09,4.937671250346476e-09,0.005316116430480772
dist_sma5,Trend,0.11179063724640319,-1.3281297665323876e-08,3.2230125120357844e-09,0.005094427977820129
dist_sma200,Trend,0.10921838577002894,-9.083223368158805e-09,1.5835060419955503e-09,0.005657742218382011
volume_ratio_20d,Volume,0.10511847100167272,3.6996065866293673e-09,2.3360150793820162e-09,0.0051704289934156765
ret_2d,Past returns,0.1034812308968224,-8.895713027369001e-09,3.880177578625641e-09,0.004504629571448509
ret_60d,Past returns,0.09702281357987783,4.533454560865949e-09,3.309517958878455e-09,0.006632489309289996
dollar_volume_log,Volume,0.08929246671445484,2.2819336684984705e-09,3.863158795129548e-09,0.0035381206330069993
bb_width20,Volatility,0.08878440855874006,2.148492260030735e-08,2.679506423058878e-09,0.005275920854104964
vol_5d,Volatility,0.07333951061636068,-6.7409579108220226e-09,3.150881811842968e-09,0.006536017093440276
bb_pctb20,Oscillators,0.0714690556189752,3.5397973658319616e-09,1.915928892392715e-09,0.0028408026766577965
volume_trend_5_20,Volume,0.06718704850395284,8.053257775022064e-09,2.99420052566794e-09,0.003135949237900678
beta_60d,Market & sector,0.03188007706185962,-1.3260396863779769e-09,6.614837971639347e-10,0.002028738093659571
rel_ret_20d,Market & sector,0.021987432522083527,6.812907120054746e-10,3.8241277356858797e-10,0.001327601462633486
